,Date,City,State,Latitude,Longitude
109,2014-07-26,Saco,ME,43.4981,-70.449
110,2014-08-04,Culpeper,VA,38.5631,-77.9829
111,2014-09-18,Bell,FL,29.7555,-82.8626
112,2014-10-24,Marysville,WA,48.092,-122.155
113,2014-11-15,Springfield,MO,37.2432,-93.2613
114,2014-11-21,Cleveland,OH,41.518,-81.6234
115,2014-12-01,Morgantown,WV,39.6855,-80.0378807
116,2014-12-15,Souderton,PA,40.2459,-75.282
117,2014-12-20,Rockford,IL,42.2938,-89.1072
118,2015-01-09,San Francisco,CA,37.7737,-122.426
119,2015-01-31,LaGrange,GA,32.9776,-85.142
120,2015-02-07,Douglasville,GA,33.7138,-84.6692
121,2015-02-26,Tyrone,MO,37.1956,-91.9012
122,2015-03-24,Indianapolis,IN,39.811,-86.1871
123,2015-04-17,Phoenix,AZ,33.6417,-111.989
124,2015-05-12,Tucson,AZ,32.1299,-111.066
125,2015-05-17,Waco,TX,31.5039,-97.129
126,2015-06-07,Missoula,MT,46.3991,-114.1582495
127,2015-06-13,Columbus,OH,40.0134,-82.9664
128,2015-06-17,Charleston,SC,32.7876,-79.9332
129,2015-07-15,Holly Hill,SC,33.3467,-80.45
130,2015-07-16,Chattanooga,TN,35.0905,-85.2591
131,2015-08-07,Barre,VT,44.1984,-72.5351
132,2015-08-08,Harris County,TX,29.9199,-95.452
133,2015-09-10,Greenwood,MN,44.9081938,-93.5479981
134,2015-09-17,Platte,SD,43.3153,-98.6045
135,2015-10-01,Roseberg,OR,43.2628,-123.28
136,2015-11-01,Pendleton,SC,34.6474,-82.748
137,2015-11-14,Palestine,TX,31.7617,-95.6314
138,2015-12-02,San Bernardino,CA,34.0758,-117.277
139,2016-01-27,Chesapeake,VA,36.7921,-76.3293
140,2016-02-20,Kalamazoo ,MI,42.2354,-85.676
141,2016-02-23,Phoenix,AZ,33.5927,-112.163
142,2016-02-26,Belfair,WA,47.5033,-122.931
143,2016-03-07,Kansas City,KS,39.0476,-94.6699
144,2016-03-09,Wilkinsburg,PA,40.4385,-79.8722
145,2016-04-22,Appling,GA,33.5989,-82.2244
146,2016-04-22,Pike County,OH,39.0201,-83.275
147,2016-06-12,Orlando,FL,28.5195,-81.3767
148,2016-06-12,Roswell,NM,33.3931,-104.5227
149,2016-06-29,Las Vegas,NV,36.1958,-115.224
150,2016-07-07,Dallas,TX,32.7793,-96.8052
151,2016-08-06,Sinking Spring,PA,40.33,-76.0256
152,2016-09-23,Burlington,WA,48.4646,-122.338
153,2016-10-15,Los Angeles,CA,34.0274,-118.351
154,2016-10-27,Henry County,GA,33.384,-83.99
155,2016-12-17,Chicago,IL,41.7037,-87.6259
156,2016-12-24,Wilson County ,NC,35.731,-77.922
157,2017-01-06,Ft. Lauderdale,FL,26.0698,-80.1367
158,2017-01-27,Bremerton,WA,47.5625,-122.828
159,2017-02-06,Yazoo City,MS,32.8634,-90.4092
160,2017-03-22,Rothschild,WI,44.8975,-89.6129
161,2017-03-30,Chicago,IL,41.7601,-87.5583
162,2017-04-07,Houston,TX,29.6858,-95.3668
163,2017-05-27,Bogue Chitto,MS,31.4109,-90.4609
164,2017-06-05,Orlando,FL,28.5799,-81.2934
165,2017-06-15,La Madera,NM,36.384,-106.041
166,2017-08-21,Enfield,NC,36.1688,-77.8286
167,2017-08-24,St. Louis,MO,38.754324,-90.20117
168,2017-09-10,Plano,TX,33.056,-96.7261
169,2017-09-15,Chicago,IL,41.878,-87.629
170,2017-10-01,Las Vegas,NV,36.169,-115.139
171,2017-10-11,Pedro,OH,38.7083,-82.6423
172,2017-11-05,Sutherland Springs,TX,29.2733,-98.0564
173,2017-11-14,Rancho Tehama Reserve,CA,40.0187,-122.393
174,2017-12-31,Long Branch,NJ,40.2927,-74.0028
175,2018-01-28,Melcroft,PA,40.0521,-79.3889
176,2018-01-28,Reading,PA,40.3331,-75.9318
177,2018-02-10,Paintsville,KY,37.8982,-82.886
178,2018-02-14,Parkland,FL,26.3045,-80.2694
179,2018-02-26,Detroit,MI,42.4005,-83.2571
180,2018-04-22,Antioch,TN,36.06,-86.6722
181,2018-05-16,Ponder,TX,33.1796,-97.2877
182,2018-05-18,Santa Fe,TX,29.3727,-95.0895
183,2018-06-11,Orlando,FL,28.4883912,-81.4642026
184,2018-06-28,Annapolis,MD,38.978,-76.495
185,2018-07-09,Wilmington,DE,39.744,-75.545
186,2018-07-27,Robstown,TX,27.798,-97.695
187,2018-09-12,Bakersfield,CA,35.373,-119.081
188,2018-10-13,Taft,TX,27.979,-97.39
189,2018-10-15,Columbia,TN,35.616,-87.048
190,2018-10-27,Pittsburgh,PA,40.443,-79.92
191,2018-11-07,Thousand Oaks,CA,34.176,-118.848
192,2018-11-19,Philadelphia,PA,39.951,-75.165
193,2018-12-28,St. Charles,MO,38.781,-90.486
194,2019-01-23,Sebring,FL,27.47037,-81.45848
195,2019-01-24,Rockmart,GA,33.9982,-85.05973
196,2019-01-26,"Gonzales, Walker",LA,30.2405,-90.8929
197,2019-02-03,Palm Springs,CA,33.8123,-116.506
198,2019-02-11,Blanchard,TX,30.725,-95.0563
199,2019-02-15,Aurora,IL,41.7564,-88.3327
200,2019-02-16,Clinton,MS,32.3525,-90.3194
201,2019-04-28,West Chester,OH,39.3512,-84.4651
202,2019-05-13,St. Louis,MO,38.6774,-90.2434
